,YYYYMMDD_HH,STN,Windrichting (in graden),Uurgemiddelde windsnelheid (in 0.1 m/s),Windsnelheid (in 0.1 m/s),Hoogste windstoot (in 0.1 m/s),Temperatuur (in 0.1 graden Celsius),Minimumtemperatuur (in 0.1 graden Celsius),Dauwpuntstemperatuur (in 0.1 graden Celsius),Duur van de zonneschijn (in 0.1 uren),Globale straling (in J/cm2),Duur van de neerslag (in 0.1 uur),Uursom van de neerslag (in 0.1 mm),Luchtdruk (in 0.1 hPa),Horizontaal zicht tijdens de waarneming,Bewolking (bedekkingsgraad van de bovenlucht in achtsten),Relatieve vochtigheid (in procenten),Weercode (00-99),Weercode indicator,Mist,Regen,Sneeuw,Onweer,IJsvorming,Cluster_KMeans,Cluster_DBSCAN,Cluster_Agglomerative_ward,Cluster_Agglomerative_complete,Cluster_Agglomerative_average,Cluster_GMM
5,2011-01-01 06:00:00,344,270.0,40.0,40.0,60.0,52.0,43.0,37.0,0.0,0.0,0.0,0.0,10205.0,58.0,8.0,90.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,6,2
11,2011-01-01 12:00:00,344,330.0,40.0,40.0,80.0,64.0,47.0,36.0,2.0,43.0,0.0,0.0,10210.0,65.0,8.0,82.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,6,1
28,2011-01-02 06:00:00,344,320.0,40.0,30.0,60.0,21.0,-47.0,4.0,0.0,0.0,0.0,-1.0,10236.0,65.0,8.0,88.0,51.0,7.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,6,7
34,2011-01-02 12:00:00,344,330.0,30.0,30.0,70.0,44.0,-19.0,8.0,7.0,68.0,0.0,0.0,10248.0,75.0,3.0,77.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,6,1
51,2011-01-03 06:00:00,344,230.0,20.0,30.0,30.0,-13.0,-47.0,-19.0,0.0,0.0,0.0,0.0,10240.0,65.0,5.0,95.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,6,2
57,2011-01-03 12:00:00,344,190.0,20.0,20.0,30.0,38.0,-47.0,22.0,7.0,65.0,0.0,0.0,10234.0,70.0,8.0,89.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,6,1
63,2011-01-03 18:00:00,344,190.0,30.0,30.0,50.0,15.0,9.0,5.0,0.0,0.0,0.0,0.0,10217.0,65.0,8.0,93.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,6,2
97,2011-01-05 06:00:00,344,190.0,70.0,80.0,120.0,3.0,-8.0,-23.0,0.0,0.0,0.0,0.0,10090.0,61.0,8.0,83.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3,0,3,0,6,2
109,2011-01-05 18:00:00,344,160.0,70.0,70.0,100.0,12.0,1.0,-36.0,0.0,0.0,0.0,0.0,10004.0,59.0,7.0,70.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0,6,2
120,2011-01-06 06:00:00,344,220.0,40.0,30.0,70.0,50.0,36.0,43.0,0.0,0.0,10.0,6.0,9949.0,56.0,8.0,95.0,61.0,7.0,0.0,1.0,0.0,0.0,0.0,2,0,4,0,6,7
